epoch,hitcount,infectedcount,recoveredcount
0,31,31,0
1,120,120,0
2,350,350,0
3,837,837,0
4,1764,1764,0
5,2999,2999,0
6,4432,4432,0
7,5856,5825,31
8,7138,7018,120
9,8087,7737,350
10,8729,7892,837
11,9194,7430,1764
12,9552,6553,2999
13,9801,5369,4432
14,9924,4068,5856
15,9969,2831,7138
16,9987,1900,8087
17,9997,1268,8729
18,9999,805,9194
19,10000,448,9552
20,10000,199,9801
21,10000,76,9924
22,10000,31,9969
23,10000,13,9987
24,10000,3,9997
25,10000,1,9999
26,10000,0,10000
27,10000,0,10000
28,10000,0,10000
29,10000,0,10000
30,10000,0,10000
31,10000,0,10000
32,10000,0,10000
33,10000,0,10000
34,10000,0,10000
35,10000,0,10000
36,10000,0,10000
37,10000,0,10000
38,10000,0,10000
39,10000,0,10000
40,10000,0,10000
41,10000,0,10000
42,10000,0,10000
43,10000,0,10000
44,10000,0,10000
45,10000,0,10000
46,10000,0,10000
47,10000,0,10000
48,10000,0,10000
49,10000,0,10000
50,10000,0,10000
51,10000,0,10000
52,10000,0,10000
53,10000,0,10000
54,10000,0,10000
55,10000,0,10000
56,10000,0,10000
57,10000,0,10000
58,10000,0,10000
59,10000,0,10000
60,10000,0,10000
61,10000,0,10000
62,10000,0,10000
63,10000,0,10000
64,10000,0,10000
65,10000,0,10000
66,10000,0,10000
67,10000,0,10000
68,10000,0,10000
69,10000,0,10000
70,10000,0,10000
71,10000,0,10000
72,10000,0,10000
73,10000,0,10000
74,10000,0,10000
75,10000,0,10000
76,10000,0,10000
77,10000,0,10000
78,10000,0,10000
79,10000,0,10000
80,10000,0,10000
81,10000,0,10000
82,10000,0,10000
83,10000,0,10000
84,10000,0,10000
85,10000,0,10000
86,10000,0,10000
87,10000,0,10000
88,10000,0,10000
89,10000,0,10000
90,10000,0,10000
91,10000,0,10000
92,10000,0,10000
93,10000,0,10000
94,10000,0,10000
95,10000,0,10000
96,10000,0,10000
97,10000,0,10000
98,10000,0,10000
99,10000,0,10000
100,10000,0,10000
