epoch,hitcount,infectedcount,recoveredcount
0,46,46,0
1,147,147,0
2,395,395,0
3,885,885,0
4,1700,1700,0
5,2862,2862,0
6,4043,4043,0
7,5306,5260,46
8,6512,6365,147
9,7574,7179,395
10,8445,7560,885
11,9193,7493,1700
12,9699,6837,2862
13,9910,5867,4043
14,9966,4660,5306
15,9989,3477,6512
16,9992,2418,7574
17,9996,1551,8445
18,9997,804,9193
19,9997,298,9699
20,9997,87,9910
21,9997,31,9966
22,9997,8,9989
23,9997,5,9992
24,9997,1,9996
25,9997,0,9997
26,9997,0,9997
27,9997,0,9997
28,9997,0,9997
29,9997,0,9997
30,9997,0,9997
31,9997,0,9997
32,9997,0,9997
33,9997,0,9997
34,9997,0,9997
35,9997,0,9997
36,9997,0,9997
37,9997,0,9997
38,9997,0,9997
39,9997,0,9997
40,9997,0,9997
41,9997,0,9997
42,9997,0,9997
43,9997,0,9997
44,9997,0,9997
45,9997,0,9997
46,9997,0,9997
47,9997,0,9997
48,9997,0,9997
49,9997,0,9997
50,9997,0,9997
51,9997,0,9997
52,9997,0,9997
53,9997,0,9997
54,9997,0,9997
55,9997,0,9997
56,9997,0,9997
57,9997,0,9997
58,9997,0,9997
59,9997,0,9997
60,9997,0,9997
61,9997,0,9997
62,9997,0,9997
63,9997,0,9997
64,9997,0,9997
65,9997,0,9997
66,9997,0,9997
67,9997,0,9997
68,9997,0,9997
69,9997,0,9997
70,9997,0,9997
71,9997,0,9997
72,9997,0,9997
73,9997,0,9997
74,9997,0,9997
75,9997,0,9997
76,9997,0,9997
77,9997,0,9997
78,9997,0,9997
79,9997,0,9997
80,9997,0,9997
81,9997,0,9997
82,9997,0,9997
83,9997,0,9997
84,9997,0,9997
85,9997,0,9997
86,9997,0,9997
87,9997,0,9997
88,9997,0,9997
89,9997,0,9997
90,9997,0,9997
91,9997,0,9997
92,9997,0,9997
93,9997,0,9997
94,9997,0,9997
95,9997,0,9997
96,9997,0,9997
97,9997,0,9997
98,9997,0,9997
99,9997,0,9997
