epoch,hitcount,infectedcount,recoveredcount
0,60,60,0
1,169,169,0
2,466,466,0
3,1130,1130,0
4,2336,2336,0
5,4051,4051,0
6,6282,6282,0
7,8784,8724,60
8,11309,11140,169
9,13641,13175,466
10,15702,14572,1130
11,17467,15131,2336
12,18709,14658,4051
13,19433,13151,6282
14,19774,10990,8784
15,19926,8617,11309
16,19976,6335,13641
17,19990,4288,15702
18,19993,2526,17467
19,19995,1286,18709
20,19996,563,19433
21,19996,222,19774
22,19997,71,19926
23,19997,21,19976
24,19997,7,19990
25,19997,4,19993
26,19997,2,19995
27,19997,1,19996
28,19997,1,19996
29,19997,0,19997
30,41,41,0
31,137,137,0
32,374,374,0
33,837,837,0
34,1780,1780,0
35,3188,3188,0
36,5073,5073,0
37,7438,7397,41
38,10015,9878,137
39,12733,12359,374
40,15175,14338,837
41,16988,15208,1780
42,18238,15050,3188
43,19026,13953,5073
44,19598,12160,7438
45,19866,9851,10015
46,19964,7231,12733
47,19984,4809,15175
48,19993,3005,16988
49,19996,1758,18238
50,19996,970,19026
51,19997,399,19598
52,19997,131,19866
53,19997,33,19964
54,19997,13,19984
55,19997,4,19993
56,19997,1,19996
57,19997,1,19996
58,19997,0,19997
59,19997,0,19997
60,60,60,0
61,176,176,0
62,471,471,0
63,1027,1027,0
64,2001,2001,0
65,3415,3415,0
66,5107,5107,0
67,6921,6861,60
68,8898,8722,176
69,10995,10524,471
70,12874,11847,1027
71,14423,12422,2001
72,15713,12298,3415
73,16770,11663,5107
74,17682,10761,6921
75,18492,9594,8898
76,19075,8080,10995
77,19523,6649,12874
78,19788,5365,14423
79,19921,4208,15713
80,19972,3202,16770
81,19986,2304,17682
82,19992,1500,18492
83,19994,919,19075
84,19995,472,19523
85,19995,207,19788
86,19995,74,19921
87,19995,23,19972
88,19995,9,19986
89,19995,3,19992
90,47,47,0
91,150,150,0
92,448,448,0
93,1022,1022,0
94,2031,2031,0
95,3451,3451,0
96,5062,5062,0
97,6907,6860,47
98,8938,8788,150
99,10833,10385,448
100,12468,11446,1022
101,13823,11792,2031
102,15019,11568,3451
103,16080,11018,5062
104,17098,10191,6907
105,17996,9058,8938
106,18728,7895,10833
107,19248,6780,12468
108,19665,5842,13823
109,19868,4849,15019
110,19952,3872,16080
111,19989,2891,17098
112,19995,1999,17996
113,19997,1269,18728
114,19998,750,19248
115,19998,333,19665
116,19998,130,19868
117,19998,46,19952
118,19998,9,19989
119,19998,3,19995
120,74,74,0
121,230,230,0
122,676,676,0
123,1495,1495,0
124,2805,2805,0
125,4563,4563,0
126,6563,6563,0
127,8707,8633,74
128,10751,10521,230
129,12584,11908,676
130,14197,12702,1495
131,15576,12771,2805
132,16690,12127,4563
133,17509,10946,6563
134,18175,9468,8707
135,18670,7919,10751
136,19076,6492,12584
137,19388,5191,14197
138,19649,4073,15576
139,19820,3130,16690
140,19920,2411,17509
141,19969,1794,18175
142,19986,1316,18670
143,19994,918,19076
144,19996,608,19388
145,19996,347,19649
146,19997,177,19820
147,19997,77,19920
148,19997,28,19969
149,19997,11,19986
150,59,59,0
151,162,162,0
152,440,440,0
153,1076,1076,0
154,2270,2270,0
155,3892,3892,0
156,6020,6020,0
157,8357,8298,59
158,10639,10477,162
159,12555,12115,440
160,14036,12960,1076
161,15329,13059,2270
162,16341,12449,3892
163,17209,11189,6020
164,18023,9666,8357
165,18690,8051,10639
166,19202,6647,12555
167,19594,5558,14036
168,19821,4492,15329
169,19938,3597,16341
170,19976,2767,17209
171,19990,1967,18023
172,19994,1304,18690
173,19996,794,19202
174,19996,402,19594
175,19996,175,19821
176,19996,58,19938
177,19996,20,19976
178,19996,6,19990
179,19996,2,19994
180,38,38,0
181,132,132,0
182,366,366,0
183,829,829,0
184,1779,1779,0
185,3168,3168,0
186,4895,4895,0
187,6736,6698,38
188,8494,8362,132
189,10285,9919,366
190,12103,11274,829
191,13820,12041,1779
192,15403,12235,3168
193,16867,11972,4895
194,17960,11224,6736
195,18740,10246,8494
196,19330,9045,10285
197,19679,7576,12103
198,19879,6059,13820
199,19957,4554,15403
200,19989,3122,16867
201,19990,2030,17960
202,19996,1256,18740
203,19997,667,19330
204,19998,319,19679
205,19998,119,19879
206,19998,41,19957
207,19998,9,19989
208,19998,8,19990
209,19998,2,19996
